timestamp,speed,obstacle_distance
123.0,2.06,23.49
124.0,2.02,25.47
125.0,2.17,27.43
126.0,2.4,29.21
127.0,2.63,30.78
128.0,2.84,32.13
129.0,3.03,33.3
130.0,3.19,34.28
131.0,3.32,35.12
132.0,3.42,35.83
133.0,3.5,36.43
134.0,3.56,36.93
135.0,3.61,37.36
136.0,3.65,37.72
137.0,3.67,38.03
138.0,3.69,38.29
139.0,3.71,38.51
140.0,3.72,38.71
141.0,3.74,38.89
142.0,3.75,39.04
143.0,3.77,39.18
144.0,3.8,39.31
145.0,3.83,39.42
146.0,3.86,39.53
147.0,3.9,39.62
148.0,3.93,39.71
149.0,3.97,39.78
150.0,4.0,39.84
151.0,3.99,39.85
152.0,4.18,40.06
153.0,4.46,40.35
154.0,4.77,40.63
155.0,5.1,40.89
156.0,5.43,41.13
157.0,5.76,41.33
158.0,6.09,41.51
159.0,6.41,41.66
160.0,6.73,41.79
161.0,7.05,41.9
162.0,7.36,41.99
163.0,7.68,42.07
164.0,7.99,42.14
165.0,8.3,42.2
166.0,8.6,42.24
167.0,8.91,42.29
168.0,9.22,42.32
169.0,9.52,42.35
170.0,9.83,42.38
171.0,10.13,42.4
172.0,10.43,42.42
173.0,10.74,42.44
174.0,11.04,42.45
175.0,11.34,42.46
176.0,11.64,42.47
177.0,11.94,42.48
178.0,12.24,42.49
179.0,12.54,42.5
180.0,12.85,42.5
181.0,13.15,42.51
182.0,13.45,42.51
183.0,13.75,42.51
184.0,14.05,42.52
185.0,14.35,42.52
186.0,14.65,42.52
187.0,14.95,42.52
188.0,15.25,42.52
189.0,15.55,42.52
190.0,15.72,42.39
191.0,15.77,42.15
192.0,15.8,41.91
193.0,15.82,41.7
194.0,15.84,41.52
195.0,15.87,41.35
196.0,15.89,41.21
197.0,15.91,41.08
198.0,15.93,40.97
199.0,15.95,40.87
200.0,15.96,40.78
201.0,15.97,40.69
202.0,15.97,40.61
203.0,15.97,40.53
204.0,15.97,40.46
205.0,15.96,40.39
206.0,15.94,40.33
207.0,15.92,40.26
208.0,15.89,40.2
209.0,15.85,40.14
210.0,15.82,40.08
211.0,15.77,40.03
212.0,15.73,39.98
213.0,15.68,39.93
214.0,15.62,39.88
215.0,15.57,39.84
216.0,15.52,39.8
217.0,15.46,39.77
218.0,15.41,39.74
219.0,15.36,39.72
220.0,15.31,39.7
221.0,15.26,39.69
222.0,15.22,39.69
223.0,15.18,39.69
224.0,15.15,39.69
225.0,15.12,39.7
226.0,15.1,39.71
227.0,15.08,39.73
228.0,15.07,39.76
229.0,15.07,39.79
230.0,15.08,39.82
231.0,15.09,39.85
232.0,15.11,39.89
233.0,15.13,39.93
234.0,15.16,39.97
235.0,15.19,40.01
236.0,15.23,40.05
237.0,15.28,40.09
238.0,15.33,40.13
239.0,15.38,40.16
240.0,15.43,40.2
241.0,15.48,40.23
242.0,15.54,40.26
243.0,15.59,40.28
244.0,15.64,40.3
245.0,15.69,40.31
246.0,15.74,40.32
247.0,15.78,40.33
248.0,15.82,40.33
249.0,15.85,40.32
250.0,15.88,40.31
251.0,15.9,40.3
252.0,15.92,40.28
253.0,15.93,40.25
254.0,15.93,40.22
255.0,15.93,40.19
256.0,15.91,40.16
257.0,15.9,40.12
258.0,15.87,40.08
259.0,15.85,40.04
260.0,15.81,40.0
261.0,15.77,39.96
262.0,15.73,39.92
263.0,15.68,39.88
264.0,15.63,39.84
265.0,15.58,39.81
266.0,15.52,39.78
267.0,15.47,39.75
268.0,15.42,39.72
269.0,15.37,39.7
270.0,15.32,39.69
271.0,15.27,39.68
272.0,15.23,39.67
273.0,15.19,39.67
274.0,15.15,39.68
275.0,15.12,39.69
276.0,15.1,39.7
277.0,15.08,39.72
278.0,15.07,39.74
279.0,15.07,39.77
280.0,15.07,39.8
281.0,14.97,40.28
282.0,14.87,38.86
283.0,14.77,35.53
284.0,14.67,30.31
285.0,14.57,23.19
286.0,8.77,17.01
287.0,2.97,14.64
288.0,0.77,14.26
289.0,0.0,6.2
290.0,0.0,6.2
291.0,0.0,6.2
292.0,0.0,6.2
293.0,0.0,6.2
294.0,0.0,6.2
295.0,0.0,6.2
296.0,0.0,6.2
297.0,0.0,6.2
298.0,0.0,6.2
299.0,0.0,6.2
300.0,0.0,6.2
301.0,0.0,6.2
302.0,0.0,6.2
303.0,0.0,6.2
304.0,0.0,6.2
305.0,0.0,6.2
306.0,0.0,6.2
307.0,0.0,6.2
308.0,0.0,6.2
309.0,0.0,6.2
310.0,0.0,6.2
311.0,0.0,6.2
312.0,0.0,6.2
313.0,0.0,6.2
314.0,0.0,6.2
315.0,0.0,6.2
316.0,0.0,6.2
317.0,0.0,6.6
318.0,0.0,7.4
319.0,0.0,8.6
320.0,0.0,10.2
321.0,0.0,12.2
322.0,0.0,14.6
323.0,0.0,17.4
324.0,0.27,20.46
325.0,0.87,23.49
326.0,1.58,26.26
327.0,2.32,28.71
328.0,3.03,30.84
329.0,3.71,32.67
330.0,4.35,34.25
331.0,4.96,35.59
332.0,5.54,36.73
333.0,6.1,37.71
334.0,6.63,38.55
335.0,7.14,39.26
336.0,7.64,39.87
337.0,8.12,40.38
338.0,8.59,40.82
339.0,9.05,41.2
340.0,9.5,41.52
341.0,9.95,41.79
342.0,10.39,42.03
343.0,10.82,42.23
344.0,11.24,42.4
345.0,11.67,42.54
346.0,12.09,42.66
347.0,12.5,42.77
348.0,12.92,42.86
349.0,13.33,42.93
350.0,13.74,43.0
351.0,14.15,43.05
352.0,14.33,42.87
353.0,14.42,42.6
354.0,14.46,42.33
355.0,14.49,42.07
356.0,14.51,41.84
357.0,14.53,41.63
358.0,14.54,41.45
359.0,14.56,41.28
360.0,14.57,41.14
361.0,14.58,41.01
362.0,14.59,40.89
363.0,14.59,40.79
364.0,14.59,40.69
365.0,14.59,40.6
366.0,14.58,40.52
367.0,14.56,40.44
368.0,14.54,40.36
369.0,14.51,40.29
370.0,14.48,40.22
371.0,14.44,40.15
372.0,14.4,40.09
373.0,14.36,40.03
374.0,14.31,39.98
375.0,14.25,39.92
376.0,14.2,39.88
377.0,14.14,39.83
378.0,14.08,39.79
379.0,14.02,39.75
380.0,13.96,39.72
381.0,13.9,39.69
382.0,13.84,39.67
383.0,13.79,39.65
384.0,13.74,39.64
385.0,13.69,39.63
386.0,13.64,39.63
387.0,13.6,39.63
388.0,13.56,39.64
389.0,13.53,39.65
390.0,13.51,39.67
391.0,13.49,39.69
392.0,13.47,39.72
393.0,13.47,39.74
394.0,13.47,39.78
395.0,13.48,39.81
396.0,13.49,39.85
397.0,13.51,39.89
398.0,13.54,39.93
399.0,13.57,39.97
400.0,13.6,40.01
401.0,13.65,40.05
402.0,13.69,40.1
403.0,13.74,40.14
404.0,13.8,40.17
405.0,13.85,40.21
406.0,13.91,40.24
407.0,13.97,40.28
408.0,14.03,40.3
409.0,14.09,40.33
410.0,14.14,40.35
411.0,14.2,40.36
412.0,14.25,40.37
413.0,14.3,40.38
414.0,14.35,40.38
415.0,14.39,40.38
416.0,14.43,40.37
417.0,14.46,40.36
418.0,14.49,40.34
419.0,14.51,40.32
420.0,14.52,40.3
421.0,14.53,40.27
422.0,14.53,40.24
423.0,14.53,40.2
424.0,14.51,40.16
425.0,14.5,40.13
426.0,14.47,40.08
427.0,14.44,40.04
428.0,14.41,40.0
429.0,14.37,39.96
430.0,14.32,39.92
431.0,14.27,39.88
432.0,14.22,39.84
433.0,14.16,39.8
434.0,14.11,39.76
435.0,14.05,39.73
436.0,13.99,39.7
437.0,13.93,39.68
438.0,13.87,39.66
439.0,13.82,39.64
440.0,13.76,39.63
441.0,13.89,39.81
442.0,13.98,39.92
443.0,14.05,40.01
444.0,14.12,40.08
445.0,14.18,40.13
446.0,14.23,40.17
447.0,14.29,40.21
448.0,14.35,40.24
449.0,14.4,40.27
450.0,14.45,40.29
451.0,14.51,40.31
452.0,14.56,40.33
453.0,14.61,40.34
454.0,14.66,40.35
455.0,14.72,40.36
456.0,14.77,40.37
457.0,14.82,40.38
458.0,14.87,40.39
459.0,14.92,40.39
460.0,14.97,40.4
461.0,15.02,40.4
462.0,15.07,40.4
463.0,15.12,40.41
464.0,15.17,40.41
465.0,15.22,40.41
466.0,15.27,40.41
467.0,15.32,40.41
468.0,15.37,40.41
469.0,15.42,40.42
470.0,15.47,40.42
471.0,15.52,40.42
472.0,15.57,40.42
473.0,15.62,40.42
474.0,15.67,40.41
475.0,15.71,40.41
476.0,15.75,40.4
477.0,15.78,40.38
478.0,15.81,40.36
479.0,15.83,40.34
480.0,15.84,40.3
481.0,15.84,40.27
482.0,15.83,40.22
483.0,15.81,40.18
484.0,15.78,40.13
485.0,15.75,40.08
486.0,15.71,40.03
487.0,15.67,39.98
488.0,15.62,39.93
489.0,15.56,39.88
490.0,15.51,39.84
491.0,15.45,39.8
492.0,15.4,39.77
493.0,15.35,39.75
494.0,15.3,39.73
495.0,15.26,39.72
496.0,15.23,39.72
497.0,15.2,39.73
498.0,15.18,39.74
499.0,15.17,39.76
